Link,Name,Address,Cars,Phone 1,Phone 2,Phone 3,Email 1,Email 2,Website 1,Website 2
https://365cars.autobazar.eu/,365 Cars,Tbiliská 15/A83106 Bratislava III - Rača,5,+421 911 137 025,+421 911 137 025,+421 911 137 025,,,,
https://3hmobil123.autobazar.eu/,3H MOBIL s.r.o.,Južná trieda 7604011 Košice,24,+421 907 130 154,+421 917 381 522,+421 907 123 393,bazar@hrehor.sk,,https://citroenkosice.sk/jazdene-vozidla/,
https://ap-auto.autobazar.eu/,A&P-AUTO,Osloboditeľov 6299001 Veľký Krtíš,11,+421 907 835 201,+421 905 135 649,,apauto111@gmail.com,,,
https://laukar.autobazar.eu/,A+V AUTOBAZAR,Brněnská 1343 66501 Rosice,158,546 211 430,602 588 072,602 536 741,info@avautobazar.cz,,,
https://azcars.autobazar.eu/,"A-Z Cars, s.r.o.",Komárňanská cesta 10494062 Nové Zámky,8,+421 903 778 759,,,azcarssro@gmail.com,,,
https://amplus.autobazar.eu/,A.M.Plus s.r.o.,Športová 32303841 Košťany nad Turcom,64,+421 918 730 336,+421 905 773 629,+421 905 635 188,m.remenik@amplusmt.sk,l.remenikova@amplusmt.sk,https://www.facebook.com/amplusmt,
https://apauto.autobazar.eu/,A.P. AUTO PRAHA,Českobrodská 345 34519800 Praha,279,272 700 970,,,info@apauto.cz,,,
https://atauto.autobazar.eu/,"A.T. Auto, s.r.o.",Lubina 104012 Košice,6,+421 908 983 144,+421 915 890 809,,atauto8@gmail.com,,,
https://aaaautosokolov.autobazar.eu/,AAA AUTO Sokolov,Stará Ovčárna 2146                            35601 Sokolov                        ,261,800110800,800110800,,business2@aaaauto.sk,,http://www.aaaauto.cz,
https://aaabanskabystrica.autobazar.eu/,AAAAUTO - Banská Bystrica,Zvolenská cesta 14084/179                            97401 Banská Bystrica                        ,186,0800175241,,,business2@aaaauto.sk,,http://www.aaaauto.sk,
https://aaabratislava.autobazar.eu/,AAAAUTO - Bratislava,Panónska cesta 39                            85104 Bratislava - Petržalka                        ,1248,0800175241,,,business2@aaaauto.sk,,http://www.aaaauto.sk,
https://aaaautobrno.autobazar.eu/,AAAAUTO - Brno,Černovická 38                            61800 Brno                        ,690,800110800,800110800,,business2@aaaauto.sk,,http://www.aaaauto.cz,
https://aaaautochomutov.autobazar.eu/,AAAAUTO - Chomutov,Pražská 4723                            43001 Chomutov                        ,211,800110800,800110800,,business2@aaaauto.sk,,http://www.aaaauto.cz,
https://aaaautohradeckralove.autobazar.eu/,AAAAUTO - Hradec Králové,Kutnohorská 226                            50004 Hradec Králové                        ,271,800110800,800110800,,business2@aaaauto.sk,,http://www.aaaauto.cz,
https://aaaautojihlava.autobazar.eu/,AAAAUTO - Jihlava,Znojemská 82                            58601 Jihlava                        ,179,800110800,800110800,,business2@aaaauto.sk,,http://www.aaaauto.cz,
https://aaaautokladno.autobazar.eu/,AAAAUTO - Kladno,Generála Klapálka 2810                            27201 Kladno                        ,237,800110800,800110800,,business2@aaaauto.sk,,http://www.aaaauto.cz,
https://aaaautokolin.autobazar.eu/,AAAAUTO - Kolín,Sladkovského                            28002 Kolín                        ,152,800110800,800110800,,business2@aaaauto.sk,,http://www.aaaauto.cz,
https://aaakosice.autobazar.eu/,AAAAUTO - Košice,Napájadlá 12                            04012 Nad Jazerom                        ,300,0800175241,,,business2@aaaauto.sk,,http://www.aaaauto.sk,
https://aaaautoliberec.autobazar.eu/,AAAAUTO - Liberec,Dr. M. Horákové 381/28                            46001 Liberec                        ,329,800110800,800110800,,business2@aaaauto.sk,,http://www.aaaauto.cz,
https://aaalucenec.autobazar.eu/,AAAAUTO - Lučenec,A.S Jegorova 29                            98401 Lučenec-Opatová                        ,105,0800175241,,,business2@aaaauto.sk,,http://www.aaaauto.sk,
